OrderID,OrderDate,CustomerLocation,ProductCategory,Brand,Quantity,UnitPrice,Discount,IsPromotion,FinalPrice
ORD00046,2024-08-06,Los Angeles,Fashion,Puma,3,888.66,15,Yes,2266.08
ORD00047,2025-01-02,San Francisco,Fashion,LG,1,162.84,25,No,122.13
ORD00048,2025-03-09,Chicago,Beauty,Sony,5,851.61,25,Yes,3193.54
ORD00049,2024-12-12,Miami,Fashion,Samsung,2,854.25,10,Yes,1537.65
ORD00050,2024-10-13,Houston,Fashion,Sony,2,758.79,5,Yes,1441.7
ORD00051,2025-04-29,New York,Sports,Apple,5,623.35,0,No,3116.75
ORD00052,2025-01-29,Miami,Beauty,Samsung,1,891.31,15,Yes,757.61
ORD00053,2025-02-17,Chicago,Fashion,Dell,4,194.88,5,Yes,740.54
ORD00054,2024-08-26,San Francisco,Fashion,LG,5,129.49,15,No,550.33
ORD00055,2024-10-16,Miami,Fashion,Samsung,5,478.34,5,Yes,2272.11
ORD00056,2025-05-28,Miami,Sports,Nike,4,599.29,20,No,1917.73
ORD00057,2024-12-25,San Francisco,Fashion,Adidas,1,910.73,25,No,683.05
ORD00058,2024-09-14,Chicago,Sports,Samsung,4,738.96,15,No,2512.46
ORD00059,2025-01-26,Los Angeles,Home & Kitchen,LG,2,769.07,0,Yes,1538.14
ORD00060,2024-08-23,Miami,Electronics,LG,1,523.12,10,Yes,470.81
ORD00061,2024-09-25,Phoenix,Electronics,Apple,2,247.28,20,Yes,395.65
ORD00062,2025-03-04,San Francisco,Beauty,Adidas,3,669.54,5,No,1908.19
ORD00063,2024-09-15,San Francisco,Sports,Dell,2,149.45,10,No,269.01
ORD00064,2025-03-18,Houston,Beauty,Adidas,3,61.34,20,No,147.22
ORD00065,2025-02-27,New York,Beauty,Puma,5,949.82,20,No,3799.28
ORD00066,2025-05-11,Miami,Electronics,Puma,3,679.99,0,No,2039.97
ORD00067,2025-03-04,Chicago,Electronics,Nike,5,534.12,15,Yes,2270.01
ORD00068,2024-11-18,San Francisco,Fashion,Adidas,3,317.43,15,No,809.45
ORD00069,2025-04-18,San Francisco,Home & Kitchen,Samsung,4,125.71,5,No,477.7
ORD00070,2024-09-16,Seattle,Beauty,Nike,1,483.32,20,No,386.66
ORD00071,2024-10-28,San Francisco,Fashion,Dell,2,390.0,0,No,780.0
ORD00072,2024-10-25,Chicago,Sports,Sony,5,487.76,25,Yes,1829.1
ORD00073,2025-02-06,Houston,Electronics,Sony,3,849.97,20,No,2039.93
ORD00074,2025-05-08,Los Angeles,Beauty,Apple,5,425.21,5,No,2019.75
ORD00075,2024-07-08,San Francisco,Fashion,Apple,3,554.75,20,No,1331.4
ORD00076,2025-01-22,Houston,Sports,LG,5,549.89,20,No,2199.56
ORD00077,2024-08-21,Miami,Fashion,Samsung,2,883.24,15,No,1501.51
ORD00078,2025-05-24,Seattle,Fashion,Sony,5,974.11,25,Yes,3652.91
ORD00079,2024-09-06,San Francisco,Home & Kitchen,Sony,3,528.82,5,Yes,1507.14
ORD00080,2025-03-26,Los Angeles,Electronics,Puma,1,230.0,15,Yes,195.5
ORD00081,2025-02-15,Chicago,Electronics,Samsung,4,503.17,5,No,1912.05
ORD00082,2025-04-11,New York,Sports,Puma,3,408.33,15,No,1041.24
ORD00083,2024-08-04,Los Angeles,Sports,Samsung,4,774.66,10,No,2788.78
ORD00084,2024-11-30,Seattle,Electronics,LG,1,636.49,25,Yes,477.37
ORD00085,2024-12-24,Los Angeles,Home & Kitchen,Dell,1,30.7,0,Yes,30.7
ORD00086,2024-09-30,Houston,Sports,Dell,5,55.8,0,No,279.0
ORD00087,2024-12-18,New York,Beauty,Dell,5,567.44,10,No,2553.48
ORD00088,2024-11-08,Los Angeles,Home & Kitchen,Dell,4,690.26,25,No,2070.78
ORD00089,2025-01-04,Chicago,Fashion,Dell,3,63.28,15,No,161.36
ORD00090,2024-11-08,New York,Home & Kitchen,Sony,5,621.35,0,No,3106.75
ORD00091,2025-04-03,Miami,Fashion,Sony,4,943.59,15,No,3208.21
ORD00092,2024-11-30,Chicago,Sports,Dell,5,401.42,25,Yes,1505.33
ORD00093,2025-06-02,Los Angeles,Home & Kitchen,Dell,3,138.51,15,No,353.2
ORD00094,2024-10-19,San Francisco,Fashion,Puma,1,418.16,15,Yes,355.44
ORD00095,2024-11-09,Phoenix,Electronics,Puma,5,365.32,15,No,1552.61
ORD00096,2024-06-22,Houston,Home & Kitchen,Apple,1,902.14,5,No,857.03
ORD00097,2024-11-06,Los Angeles,Electronics,LG,1,129.81,5,No,123.32
ORD00098,2025-01-06,Chicago,Sports,Samsung,4,312.33,0,Yes,1249.32
ORD00099,2024-12-17,Miami,Fashion,LG,3,271.55,20,Yes,651.72
ORD00100,2024-07-21,Houston,Electronics,Samsung,2,447.46,25,Yes,671.19
ORD00101,2024-08-11,San Francisco,Home & Kitchen,Adidas,5,923.55,10,Yes,4155.98
ORD00102,2025-05-04,New York,Beauty,Nike,3,840.42,20,No,2017.01
ORD00103,2024-07-28,Seattle,Electronics,Apple,4,370.02,20,Yes,1184.06
ORD00104,2024-12-05,Phoenix,Fashion,LG,4,677.09,20,No,2166.69
ORD00105,2024-10-09,Seattle,Beauty,LG,2,539.77,0,No,1079.54
ORD00106,2025-04-15,Miami,Electronics,Samsung,1,184.66,20,No,147.73
ORD00107,2024-11-28,Los Angeles,Sports,Apple,1,534.58,5,Yes,507.85
ORD00108,2024-08-21,Chicago,Fashion,Nike,2,779.55,10,Yes,1403.19
ORD00109,2025-03-01,San Francisco,Beauty,Nike,3,778.12,15,No,1984.21
ORD00110,2024-08-02,Chicago,Electronics,Dell,4,389.54,25,No,1168.62
ORD00111,2025-01-15,Houston,Sports,Puma,3,329.07,15,Yes,839.13
ORD00112,2024-12-31,Los Angeles,Beauty,Dell,3,403.31,5,No,1149.43
ORD00113,2024-08-04,San Francisco,Beauty,Puma,1,754.01,0,No,754.01
ORD00114,2025-04-29,Miami,Electronics,Puma,3,798.87,5,Yes,2276.78
ORD00115,2024-07-26,Seattle,Home & Kitchen,Apple,1,610.49,0,Yes,610.49
ORD00116,2025-03-08,Chicago,Fashion,Puma,2,718.28,0,No,1436.56
ORD00117,2024-11-14,Los Angeles,Home & Kitchen,Puma,5,370.08,15,Yes,1572.84
ORD00118,2024-08-13,Chicago,Sports,Puma,2,505.2,10,No,909.36
ORD00119,2024-12-11,Phoenix,Home & Kitchen,Puma,3,907.33,0,No,2721.99
ORD00120,2024-08-12,Chicago,Fashion,Adidas,1,657.12,0,No,657.12
ORD00121,2025-02-20,Los Angeles,Fashion,Dell,5,529.35,5,Yes,2514.41
ORD00122,2024-11-24,Seattle,Home & Kitchen,Adidas,5,477.47,10,No,2148.62
ORD00123,2025-04-25,Chicago,Home & Kitchen,LG,3,820.17,25,No,1845.38
ORD00124,2025-05-20,Phoenix,Home & Kitchen,Apple,2,887.18,25,Yes,1330.77
ORD00125,2024-06-20,Houston,Fashion,Dell,3,616.34,20,No,1479.22
ORD00126,2024-10-27,Chicago,Home & Kitchen,Apple,5,362.47,5,No,1721.73
ORD00127,2024-06-21,Houston,Fashion,LG,2,454.07,5,Yes,862.73
ORD00128,2024-09-27,Phoenix,Home & Kitchen,Dell,3,495.41,25,No,1114.67
ORD00129,2024-07-10,San Francisco,Sports,Dell,2,572.04,20,Yes,915.26
ORD00130,2025-05-28,Chicago,Electronics,Nike,3,949.0,25,Yes,2135.25
ORD00131,2024-08-04,Phoenix,Beauty,Adidas,4,964.24,5,No,3664.11
ORD00132,2024-08-20,Phoenix,Beauty,Adidas,5,115.22,25,Yes,432.08
ORD00133,2024-08-14,San Francisco,Fashion,Adidas,4,602.04,20,No,1926.53
ORD00134,2024-11-04,San Francisco,Fashion,Sony,2,194.02,5,No,368.64
ORD00135,2024-08-30,New York,Fashion,Apple,2,875.58,20,No,1400.93
ORD00136,2025-03-25,Seattle,Home & Kitchen,Puma,4,475.45,5,Yes,1806.71
ORD00137,2024-07-03,Seattle,Sports,Apple,5,20.61,5,Yes,97.9
ORD00138,2024-11-15,Los Angeles,Sports,Samsung,1,826.63,0,Yes,826.63
ORD00139,2024-08-12,Phoenix,Sports,Puma,2,230.43,0,Yes,460.86
ORD00140,2024-12-16,Houston,Fashion,Samsung,5,559.15,20,No,2236.6
ORD00141,2025-01-31,Chicago,Electronics,LG,5,149.5,15,Yes,635.38
ORD00142,2025-02-02,Phoenix,Fashion,Puma,1,608.68,5,Yes,578.25
ORD00143,2025-03-05,New York,Home & Kitchen,Adidas,5,880.95,5,Yes,4184.51
ORD00144,2025-04-04,San Francisco,Sports,Adidas,1,303.64,20,Yes,242.91
ORD00145,2025-05-30,Chicago,Sports,Apple,5,663.08,25,No,2486.55
ORD00146,2025-03-10,Phoenix,Electronics,Apple,1,568.27,20,No,454.62
ORD00147,2024-09-08,Los Angeles,Fashion,LG,1,553.22,20,No,442.58
ORD00148,2024-09-29,Los Angeles,Electronics,Dell,1,735.99,10,No,662.39
ORD00149,2025-04-11,Chicago,Fashion,Nike,5,56.02,25,No,210.08
ORD00150,2025-04-15,Seattle,Electronics,Nike,4,219.1,5,No,832.58
ORD00151,2025-01-19,San Francisco,Beauty,Samsung,1,849.05,0,No,849.05
ORD00152,2024-09-21,New York,Beauty,Adidas,4,239.18,5,Yes,908.88
ORD00153,2025-05-19,Chicago,Electronics,Sony,5,761.44,25,No,2855.4
ORD00154,2024-12-08,San Francisco,Sports,Adidas,3,651.95,10,No,1760.27
ORD00155,2024-10-19,San Francisco,Fashion,Nike,1,331.34,25,Yes,248.5
ORD00156,2024-08-04,Miami,Beauty,Puma,3,537.1,15,No,1369.61
ORD00157,2024-06-18,Miami,Fashion,Nike,4,773.36,0,Yes,3093.44
ORD00158,2024-10-24,Los Angeles,Beauty,Nike,2,403.3,20,No,645.28
ORD00159,2024-06-18,San Francisco,Electronics,Puma,4,902.59,0,Yes,3610.36
ORD00160,2024-07-15,Los Angeles,Beauty,Nike,4,907.3,20,Yes,2903.36
ORD00161,2024-06-25,Seattle,Home & Kitchen,Samsung,4,222.49,0,Yes,889.96
ORD00162,2025-01-17,New York,Home & Kitchen,Puma,3,676.32,20,No,1623.17
ORD00163,2025-02-11,Phoenix,Home & Kitchen,Nike,1,113.24,10,No,101.92
ORD00164,2025-03-29,Chicago,Fashion,Sony,3,59.34,20,No,142.42
ORD00165,2024-08-05,San Francisco,Electronics,Sony,4,498.44,15,No,1694.7
ORD00166,2024-12-16,Seattle,Beauty,Apple,2,875.54,10,Yes,1575.97
ORD00167,2024-08-15,Seattle,Fashion,LG,5,490.64,20,No,1962.56
ORD00168,2025-02-23,Miami,Electronics,Nike,5,543.32,0,Yes,2716.6
ORD00169,2024-06-22,Chicago,Sports,Nike,2,833.32,10,No,1499.98
ORD00170,2025-05-09,Los Angeles,Beauty,LG,2,29.36,25,Yes,44.04
ORD00171,2025-01-12,Chicago,Home & Kitchen,Puma,5,509.11,0,No,2545.55
ORD00172,2025-03-05,Chicago,Electronics,Adidas,2,240.79,20,Yes,385.26
ORD00173,2025-04-07,Houston,Fashion,Nike,4,862.38,25,Yes,2587.14
ORD00174,2024-11-26,San Francisco,Home & Kitchen,Sony,2,182.47,10,No,328.45
ORD00175,2024-06-12,Houston,Fashion,LG,2,21.76,15,No,36.99
ORD00176,2024-10-10,Los Angeles,Fashion,Nike,1,189.36,25,Yes,142.02
ORD00177,2024-08-09,Houston,Fashion,LG,1,101.45,10,Yes,91.31
ORD00178,2024-08-26,New York,Home & Kitchen,Adidas,3,760.52,20,Yes,1825.25
ORD00179,2024-11-17,San Francisco,Sports,Puma,3,753.61,5,No,2147.79
ORD00180,2025-01-06,San Francisco,Sports,Sony,3,16.85,20,No,40.44
ORD00181,2024-11-13,Miami,Fashion,Apple,1,806.64,5,No,766.31
ORD00182,2024-11-03,Phoenix,Beauty,Adidas,5,446.7,10,No,2010.15
ORD00183,2025-03-30,Phoenix,Beauty,Sony,2,830.42,0,No,1660.84
ORD00184,2024-10-27,Seattle,Home & Kitchen,Samsung,2,984.22,5,Yes,1870.02
ORD00185,2024-12-01,Chicago,Home & Kitchen,Nike,3,162.86,15,No,415.29
ORD00186,2024-07-15,New York,Beauty,Dell,4,650.67,20,No,2082.14
ORD00187,2025-05-09,San Francisco,Fashion,Sony,3,945.48,15,Yes,2410.97
ORD00188,2024-12-06,New York,Sports,Sony,1,837.08,15,No,711.52
ORD00189,2024-11-04,New York,Home & Kitchen,Puma,5,583.53,5,Yes,2771.77
ORD00190,2024-08-22,Seattle,Home & Kitchen,Dell,1,826.18,5,No,784.87
ORD00191,2025-03-01,Phoenix,Beauty,Nike,2,607.31,15,Yes,1032.43
ORD00192,2025-02-19,Los Angeles,Home & Kitchen,Dell,2,473.77,5,Yes,900.16
ORD00193,2024-11-21,San Francisco,Electronics,LG,3,408.37,0,No,1225.11
ORD00194,2025-01-06,New York,Beauty,Samsung,3,77.32,10,Yes,208.76
ORD00195,2025-05-20,Los Angeles,Home & Kitchen,Adidas,5,451.95,5,Yes,2146.76
ORD00196,2025-04-28,Houston,Electronics,Puma,5,261.59,25,No,980.96
ORD00197,2024-11-10,New York,Fashion,Apple,1,486.48,20,No,389.18
ORD00198,2024-06-21,Seattle,Fashion,Adidas,5,806.65,0,No,4033.25
ORD00199,2025-03-09,Houston,Sports,Samsung,5,695.44,20,No,2781.76
ORD00200,2024-08-14,Miami,Fashion,Dell,4,53.83,25,Yes,161.49
ORD00201,2025-06-03,Phoenix,Fashion,Puma,1,858.62,10,Yes,772.76
ORD00202,2025-01-22,New York,Sports,Dell,4,813.99,0,Yes,3255.96
ORD00203,2024-08-27,Phoenix,Home & Kitchen,Nike,1,63.45,15,No,53.93
ORD00204,2024-09-06,Los Angeles,Home & Kitchen,Dell,2,985.3,0,Yes,1970.6
ORD00205,2025-05-26,San Francisco,Sports,Samsung,4,817.0,5,Yes,3104.6
ORD00206,2025-04-15,New York,Beauty,Nike,4,106.09,15,No,360.71
ORD00207,2025-04-10,Phoenix,Sports,LG,4,539.51,0,Yes,2158.04
ORD00208,2024-11-07,Chicago,Beauty,Adidas,1,941.07,25,Yes,705.8
ORD00209,2025-01-18,Houston,Sports,Nike,4,67.74,20,No,216.77
ORD00210,2025-02-10,Houston,Electronics,Nike,1,286.76,20,Yes,229.41
ORD00211,2025-02-03,Phoenix,Beauty,Adidas,5,442.62,5,Yes,2102.44
ORD00212,2025-01-08,San Francisco,Home & Kitchen,Samsung,2,198.88,10,No,357.98
ORD00213,2025-03-26,Miami,Sports,Samsung,1,958.92,0,No,958.92
ORD00214,2024-06-10,Seattle,Sports,Puma,5,183.76,25,Yes,689.1
ORD00215,2024-06-28,Seattle,Fashion,Nike,5,411.34,10,No,1851.03
ORD00216,2024-11-17,Houston,Beauty,Apple,3,918.69,10,Yes,2480.46
ORD00217,2024-11-25,New York,Beauty,LG,1,454.14,20,No,363.31
ORD00218,2024-09-12,Houston,Electronics,Dell,2,382.11,10,Yes,687.8
ORD00219,2024-12-20,Miami,Sports,Sony,1,729.97,0,Yes,729.97
ORD00220,2025-01-02,Houston,Fashion,Adidas,2,602.47,20,No,963.95
ORD00221,2024-10-26,San Francisco,Home & Kitchen,Sony,4,69.81,10,No,251.32
ORD00222,2024-08-20,Houston,Beauty,Nike,3,393.25,10,Yes,1061.78
ORD00223,2024-06-17,Chicago,Beauty,Nike,3,67.98,5,No,193.74
ORD00224,2024-09-07,Los Angeles,Beauty,Samsung,5,900.37,10,Yes,4051.67
ORD00225,2025-01-24,Seattle,Fashion,Puma,3,778.41,0,Yes,2335.23
ORD00226,2024-11-15,San Francisco,Sports,Samsung,4,45.02,10,Yes,162.07
ORD00227,2024-08-19,New York,Electronics,Nike,2,266.69,25,No,400.03
ORD00228,2024-07-25,Miami,Electronics,Nike,1,106.65,5,Yes,101.32
ORD00229,2024-10-19,Miami,Fashion,Samsung,3,298.05,5,Yes,849.44
ORD00230,2024-06-23,Phoenix,Electronics,Adidas,4,961.19,5,No,3652.52
ORD00231,2024-07-01,Los Angeles,Electronics,Nike,2,984.49,0,No,1968.98
ORD00232,2025-05-30,Los Angeles,Sports,Adidas,5,753.1,15,No,3200.67
ORD00233,2025-03-08,Miami,Electronics,Sony,3,435.95,5,No,1242.46
ORD00234,2024-11-01,Los Angeles,Electronics,Puma,4,862.9,0,No,3451.6
ORD00235,2025-01-08,Houston,Home & Kitchen,Puma,4,246.44,0,No,985.76
ORD00236,2024-07-03,Chicago,Home & Kitchen,Nike,3,265.59,10,Yes,717.09
ORD00237,2025-02-07,Seattle,Sports,Nike,5,526.2,20,Yes,2104.8
ORD00238,2024-06-29,New York,Beauty,Adidas,1,687.26,20,Yes,549.81
ORD00239,2025-02-20,San Francisco,Fashion,Puma,2,225.74,15,Yes,383.76
ORD00240,2025-04-25,Chicago,Sports,Samsung,1,538.33,15,Yes,457.58
ORD00241,2025-04-23,Houston,Home & Kitchen,Dell,3,772.44,5,Yes,2201.45
ORD00242,2024-10-20,Houston,Fashion,LG,2,963.41,0,Yes,1926.82
ORD00243,2024-06-18,San Francisco,Home & Kitchen,LG,1,779.17,25,Yes,584.38
ORD00244,2024-06-19,Seattle,Home & Kitchen,Adidas,2,771.05,0,No,1542.1
ORD00245,2024-12-28,Houston,Home & Kitchen,LG,1,223.91,20,No,179.13
ORD00246,2025-04-11,Miami,Home & Kitchen,Apple,3,613.31,15,Yes,1563.94
ORD00247,2024-08-20,Houston,Home & Kitchen,Samsung,4,601.01,20,Yes,1923.23
ORD00248,2025-05-09,Chicago,Fashion,Samsung,2,805.97,25,Yes,1208.95
ORD00249,2024-09-14,Miami,Home & Kitchen,Sony,3,461.79,25,Yes,1039.03
ORD00250,2024-10-03,New York,Electronics,Adidas,1,226.02,10,No,203.42
ORD00251,2025-06-08,Chicago,Home & Kitchen,Dell,1,698.88,15,Yes,594.05
ORD00252,2024-12-20,Houston,Electronics,Samsung,2,428.01,25,Yes,642.01
ORD00253,2024-06-15,New York,Fashion,Dell,2,711.92,25,Yes,1067.88
ORD00254,2025-01-10,Houston,Electronics,Apple,3,455.53,25,Yes,1024.94
ORD00255,2025-04-24,New York,Sports,Samsung,4,388.19,20,Yes,1242.21
ORD00256,2024-07-10,San Francisco,Fashion,Apple,2,55.85,20,Yes,89.36
ORD00257,2024-09-05,Chicago,Fashion,Adidas,3,495.94,20,No,1190.26
ORD00258,2025-04-13,Houston,Beauty,Dell,5,359.72,10,Yes,1618.74
ORD00259,2025-03-09,Los Angeles,Electronics,Nike,1,489.48,20,No,391.58
ORD00260,2024-09-02,Seattle,Sports,LG,1,288.89,0,No,288.89
ORD00261,2025-04-03,Los Angeles,Sports,Dell,4,127.26,10,No,458.14
ORD00262,2024-08-21,New York,Fashion,Puma,1,113.55,20,Yes,90.84
ORD00263,2025-02-16,Phoenix,Beauty,LG,5,24.08,0,Yes,120.4
ORD00264,2024-12-29,Chicago,Beauty,Nike,3,126.3,25,No,284.17
ORD00265,2025-03-02,Miami,Sports,Sony,2,829.57,10,Yes,1493.23
ORD00266,2024-09-21,Phoenix,Beauty,Samsung,4,730.12,10,Yes,2628.43
ORD00267,2025-01-02,Houston,Fashion,Puma,1,76.22,25,Yes,57.16
ORD00268,2024-10-08,Los Angeles,Beauty,Adidas,1,469.23,0,No,469.23
ORD00269,2025-05-22,Los Angeles,Sports,Samsung,5,167.76,15,No,712.98
ORD00270,2024-12-03,Houston,Sports,Dell,4,109.84,20,No,351.49
ORD00271,2025-02-02,New York,Electronics,Samsung,4,542.99,10,Yes,1954.76
ORD00272,2025-03-10,Chicago,Home & Kitchen,Sony,1,614.38,20,Yes,491.5
ORD00273,2025-04-11,New York,Electronics,Sony,3,472.71,15,No,1205.41
ORD00274,2025-02-23,San Francisco,Sports,Dell,2,355.35,25,No,533.03
ORD00275,2024-11-28,Miami,Fashion,Apple,2,570.63,15,Yes,970.07
ORD00276,2024-06-24,Chicago,Electronics,Nike,3,341.55,15,No,870.95
ORD00277,2024-08-08,New York,Sports,Sony,4,246.31,25,Yes,738.93
ORD00278,2024-09-10,Miami,Fashion,LG,4,982.28,20,No,3143.3
ORD00279,2024-08-06,Los Angeles,Electronics,Puma,2,929.49,25,No,1394.24
ORD00280,2025-06-06,Phoenix,Fashion,Adidas,1,389.99,0,Yes,389.99
ORD00281,2024-10-20,Miami,Home & Kitchen,Adidas,2,644.21,10,No,1159.58
ORD00282,2024-06-17,Chicago,Sports,Adidas,4,778.18,15,Yes,2645.81
ORD00283,2024-11-27,New York,Beauty,LG,4,775.47,15,No,2636.6
ORD00284,2024-09-08,Miami,Electronics,Nike,1,126.24,15,Yes,107.3
ORD00285,2025-02-03,Houston,Sports,Sony,5,785.36,15,No,3337.78
ORD00286,2025-05-03,Phoenix,Beauty,Nike,5,91.52,0,Yes,457.6
ORD00287,2024-12-22,Miami,Fashion,Puma,1,296.09,0,No,296.09
ORD00288,2024-10-22,Miami,Fashion,Nike,5,362.99,5,Yes,1724.2
ORD00289,2025-03-01,San Francisco,Sports,Samsung,3,611.69,10,Yes,1651.56
ORD00290,2024-08-14,Miami,Sports,LG,3,13.39,15,No,34.14
ORD00291,2025-01-06,Chicago,Electronics,Samsung,1,330.32,25,No,247.74
ORD00292,2024-11-10,Chicago,Beauty,Sony,5,456.27,15,Yes,1939.15
ORD00293,2024-12-24,Los Angeles,Beauty,LG,2,576.58,0,Yes,1153.16
ORD00294,2024-07-22,San Francisco,Sports,LG,4,315.69,25,Yes,947.07
ORD00295,2025-03-14,Phoenix,Electronics,LG,5,971.97,15,No,4130.87
ORD00296,2024-11-18,New York,Fashion,Samsung,5,941.15,20,Yes,3764.6
ORD00297,2025-04-22,Houston,Electronics,Sony,5,212.02,0,Yes,1060.1
ORD00298,2025-05-05,San Francisco,Beauty,Adidas,1,579.85,25,No,434.89
ORD00299,2025-04-15,Chicago,Sports,Samsung,5,589.71,10,No,2653.7
ORD00300,2024-12-25,Los Angeles,Fashion,Apple,2,187.97,0,Yes,375.94
ORD00301,2024-10-02,Phoenix,Home & Kitchen,Dell,3,834.22,5,Yes,2377.53
ORD00302,2025-04-03,Los Angeles,Electronics,Adidas,5,91.36,20,Yes,365.44
ORD00303,2025-01-07,Seattle,Fashion,LG,4,264.89,5,No,1006.58
ORD00304,2024-10-16,Miami,Electronics,Dell,2,976.43,0,No,1952.86
ORD00305,2024-07-08,Houston,Home & Kitchen,Dell,1,103.36,10,Yes,93.02
ORD00306,2025-03-23,Miami,Home & Kitchen,Sony,2,417.7,0,No,835.4
ORD00307,2025-05-18,San Francisco,Sports,Sony,2,479.38,0,Yes,958.76
ORD00308,2024-10-26,New York,Beauty,LG,2,43.15,15,No,73.35
ORD00309,2024-10-11,Phoenix,Fashion,Samsung,2,120.45,0,Yes,240.9
ORD00310,2024-07-19,Seattle,Beauty,Dell,3,721.77,0,No,2165.31
ORD00311,2024-06-11,Seattle,Electronics,Nike,4,379.92,0,Yes,1519.68
ORD00312,2025-03-17,Seattle,Sports,Puma,3,383.78,15,No,978.64
ORD00313,2024-10-14,Chicago,Home & Kitchen,Samsung,4,209.74,5,No,797.01
ORD00314,2024-08-25,Miami,Beauty,Dell,1,665.73,10,No,599.16
ORD00315,2025-01-09,San Francisco,Sports,Adidas,4,897.58,20,Yes,2872.26
ORD00316,2024-12-07,Phoenix,Beauty,Samsung,3,280.32,15,No,714.82
ORD00317,2024-10-20,Miami,Sports,Nike,1,719.99,15,Yes,611.99
ORD00318,2025-03-03,Chicago,Sports,Apple,2,470.53,25,No,705.79
ORD00319,2024-07-04,New York,Home & Kitchen,LG,1,716.73,0,No,716.73
ORD00320,2025-02-17,Miami,Beauty,LG,3,683.78,15,No,1743.64
ORD00321,2025-05-16,Houston,Home & Kitchen,Sony,5,335.78,25,No,1259.17
